brand,os,inches,battery,battery_type,ram(GB),announcement_date,weight(g),storage(GB),video_720p,video_1080p,video_4K,video_8K,video_30fps,video_60fps,video_120fps,video_240fps,video_480fps,video_960fps,price,resolution_height,resolution_width,resolution,os_unique,ppi
Oppo,Android 7.1.1,6.0,4000,Li-Po,6,2017-06-01,188.0,64,True,True,True,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,367.1511950137164
Samsung,Android 7.0,5.7,3300,Li-Ion,4,2017-06-01,179.0,32,False,True,False,False,True,False,False,False,False,False,200.0,1080,1920,2073600,Android,386.47494211970144
Samsung,Android 7.0,5.5,3600,Li-Ion,3,2017-06-01,181.0,16,False,True,False,False,True,False,False,False,False,False,130.0,1080,1920,2073600,Android,400.52857637859967
Samsung,Android 7.0,5.5,3600,Li-Ion,3,2017-06-01,181.0,16,False,True,False,False,True,False,False,False,False,False,200.0,1080,1920,2073600,Android,400.52857637859967
Samsung,Android 7.0,5.2,3000,Li-Ion,3,2017-06-01,160.0,16,False,True,False,False,True,False,False,False,False,False,80.0,720,1280,921600,Android,282.42399616439724
Huawei,Android 7.0,5.5,4000,Li-Ion,3,2017-06-01,165.0,32,False,True,False,False,True,False,False,False,False,False,130.0,720,1280,921600,Android,267.0190509190665
Oppo,Android 7.1,5.5,3200,Li-Ion,4,2017-07-01,148.0,64,False,True,False,False,True,False,False,False,False,False,250.0,1080,1920,2073600,Android,400.52857637859967
LG,Android 7.0,5.2,3000,Li-Ion,4,2017-07-01,146.0,32,True,True,True,False,True,True,True,False,False,False,110.0,1440,2560,3686400,Android,564.8479923287945
LG,Android 7.1.1,5.5,3000,Li-Po,4,2017-07-01,149.0,16,False,True,False,False,True,False,False,False,False,False,200.0,1080,2160,2332800,Android,439.0824392181405
Samsung,Android 6.0,3.8,1950,Li-Ion,3,2017-07-01,165.0,16,False,True,False,False,True,False,False,False,False,False,430.0,480,800,384000,Android,245.51376399348635
Samsung,Android 7.1.1,5.7,3200,Li-Ion,4,2017-07-01,167.0,64,True,True,True,False,True,True,True,True,False,False,200.0,1440,2560,3686400,Android,515.2999228262686
Huawei,Android 7.0,5.0,3020,Li-Ion,2,2017-08-01,145.0,16,False,True,False,False,True,False,False,False,False,False,250.0,720,1280,921600,Android,293.7209560109731
Sony,Android 8.0,4.6,2700,Li-Ion,4,2017-08-01,140.0,32,True,True,True,False,True,True,False,False,False,True,300.0,720,1280,921600,Android,319.2619087075795
Samsung,Android 7.0,5.8,4000,Li-Ion,4,2017-08-01,208.0,64,True,True,True,False,True,True,True,True,False,False,500.0,1440,2960,4262400,Android,567.532154798372
Sony,Android 7.0,5.5,3430,Li-Ion,4,2017-08-01,189.0,32,False,True,False,False,True,False,False,False,False,False,150.0,1080,1920,2073600,Android,400.52857637859967
Lenovo,Android 7.1.1,5.5,4000,Li-Po,4,2017-08-01,180.0,32,False,True,False,False,True,False,False,False,False,False,200.0,1080,1920,2073600,Android,400.52857637859967
Samsung,Android 7.1.1,6.3,3300,Li-Ion,6,2017-08-23,195.0,64,True,True,True,False,True,True,True,True,False,False,210.0,1440,2960,4262400,Android,522.4899202905647
LG,Android 7.1.2,6.0,3300,Li-Po,4,2017-08-31,158.0,64,True,True,True,False,True,True,True,False,False,False,200.0,1440,2880,4147200,Android,536.6563145999495
Sony,Android 8.0,5.2,2700,Li-Ion,4,2017-08-31,155.0,64,True,True,True,False,True,True,False,False,False,True,260.0,1080,1920,2073600,Android,423.6359942465958
Xiaomi,Android 7.1.2,5.5,3080,Li-Po,4,2017-09-01,165.0,32,True,True,True,False,True,False,True,False,False,False,170.0,1080,1920,2073600,Android,400.52857637859967
Oppo,Android 7.1,5.2,3000,Li-Ion,3,2017-09-01,137.0,16,False,True,False,False,True,False,False,False,False,False,480.0,720,1280,921600,Android,282.42399616439724
Xiaomi,Android 7.1,5.99,3400,Li-Ion,8,2017-09-01,185.0,64,True,True,True,False,True,False,True,False,False,False,410.0,1080,2160,2332800,Android,403.16417624370166
Xiaomi,Android 7.1,5.5,3500,Li-Ion,6,2017-09-01,163.0,64,True,True,True,False,True,False,True,False,False,False,280.0,1080,1920,2073600,Android,400.52857637859967
Lenovo,Android 7.1.1,5.2,4000,Li-Po,3,2017-09-01,165.0,32,False,True,False,False,True,False,False,False,False,False,200.0,720,1280,921600,Android,282.42399616439724
Samsung,Android 7.1,5.5,3000,Li-Ion,4,2017-09-01,180.0,32,False,True,False,False,True,False,False,False,False,False,550.0,1080,1920,2073600,Android,400.52857637859967
Lenovo,Android 7.1.1,5.2,4000,Li-Po,4,2017-09-01,165.0,32,False,True,False,False,True,False,False,False,False,False,180.0,1080,1920,2073600,Android,423.6359942465958
Apple,iOS 11,4.7,1821,Li-Ion,2,2017-09-12,148.0,64,True,True,True,False,True,True,True,True,False,False,210.0,750,1334,1000500,iOS,325.6122832234166
Apple,iOS 11.1.1,5.8,2716,Li-Ion,3,2017-09-12,174.0,64,True,True,True,False,True,True,True,True,False,False,280.0,1125,2436,2740500,iOS,462.62579033027964
Oppo,Android 7.1.1,6.01,3200,Li-Po,4,2017-10-01,153.0,64,True,True,True,False,True,False,False,False,False,False,260.0,1080,2160,2332800,Android,401.82253173041147
Oppo,Android 7.1.1,6.0,3200,Li-Ion,6,2017-10-01,152.0,32,False,True,False,False,True,False,False,False,False,False,150.0,1080,2160,2332800,Android,402.49223594996215
Sony,Android 7.1,5.2,2620,Li-Ion,3,2017-10-01,154.0,16,False,True,False,False,True,False,False,False,False,False,168.0,720,1280,921600,Android,282.42399616439724
Huawei,Android 8.0,6.0,4000,Li-Po,6,2017-10-01,178.0,64,True,True,True,False,True,True,False,False,False,False,150.0,1080,2160,2332800,Android,402.49223594996215
Huawei,Android 8.0,5.9,4000,Li-Po,4,2017-10-01,186.0,64,True,True,True,False,True,True,False,False,False,False,180.0,1440,2560,3686400,Android,497.8321288321578
Samsung,Android 7.0,4.7,2000,Li-Ion,1,2017-10-01,130.0,8,True,False,False,False,True,False,False,False,False,False,500.0,540,960,518400,Android,234.35182660449982
Huawei,Android 7.0,5.9,3340,Li-Ion,4,2017-10-01,164.0,64,False,True,False,False,True,False,False,False,False,False,300.0,1080,2160,2332800,Android,409.3141382541988
Huawei,Android 8.0,6.0,4000,Li-Po,6,2017-10-01,178.0,256,True,True,True,False,True,True,False,False,False,False,190.0,1080,2160,2332800,Android,402.49223594996215
Google,Android 8.0,5.0,2700,Li-Ion,4,2017-10-04,143.0,64,True,True,True,False,True,True,True,True,False,False,610.0,1080,1920,2073600,Android,440.58143401645964
Google,Android 8.0,6.0,3520,Li-Ion,4,2017-10-04,175.0,64,True,True,True,False,True,True,True,True,False,False,520.0,1440,2880,4147200,Android,536.6563145999495
Xiaomi,Android 7.1.2,5.5,3080,Li-Ion,4,2017-11-01,153.0,32,False,True,False,False,True,False,False,False,False,False,140.0,720,1280,921600,Android,267.0190509190665
Oppo,Android 7.1,6.0,3200,Li-Ion,4,2017-11-01,152.0,32,False,True,False,False,True,False,False,False,False,False,400.0,1080,2160,2332800,Android,402.49223594996215
Oppo,Android 7.1.1,6.43,4000,Li-Po,6,2017-11-01,182.0,64,True,True,True,False,True,False,False,False,False,False,310.0,1080,2160,2332800,Android,375.5759588957656
Xiaomi,Android 7.0,5.5,3080,Li-Ion,2,2017-11-01,150.0,16,False,True,False,False,True,False,False,False,False,False,90.0,720,1280,921600,Android,267.0190509190665
Lenovo,Android 7.0,10.1,7000,Li-Ion,2,2017-11-01,500.0,32,False,True,False,False,True,False,False,False,False,False,170.0,1200,1920,2304000,Android,224.17380907857276
Xiaomi,Android 7.1.2,5.0,3000,Li-Ion,3,2017-11-01,137.0,16,False,True,False,False,True,False,False,False,False,False,100.0,720,1280,921600,Android,293.7209560109731
Huawei,Android 8.0,6.0,3340,Li-Po,6,2017-12-01,169.0,64,True,True,True,False,True,False,False,False,False,False,230.0,1080,2160,2332800,Android,402.49223594996215
Xiaomi,Android 7.1.2,5.7,3300,Li-Po,4,2017-12-01,157.0,16,False,True,False,False,True,False,False,False,False,False,160.0,720,1440,1036800,Android,282.45069189471025
Lenovo,Android 7.0,5.7,3000,Li-Ion,3,2017-12-01,153.0,16,False,True,False,False,True,False,False,False,False,False,200.0,720,1440,1036800,Android,282.45069189471025
Huawei,Android 8.0,5.65,3000,Li-Po,4,2017-12-01,143.0,32,False,True,False,False,True,False,False,False,False,False,450.0,1080,2160,2332800,Android,427.42538330969427
Samsung,Android 7.1.1,5.6,3000,Li-Ion,4,2017-12-01,172.0,32,False,True,False,False,True,False,False,False,False,False,230.0,1080,2220,2397600,Android,440.85087024516395
Samsung,Android 7.1.1,6.0,3500,Li-Ion,6,2017-12-01,191.0,32,False,True,False,False,True,False,False,False,False,False,120.0,1080,2220,2397600,Android,411.46081222881963
Honor,Android 8.0,5.65,3000,Li-Po,4,2017-12-01,149.0,32,False,True,False,False,True,False,False,False,False,False,190.0,1080,2160,2332800,Android,427.42538330969427
Sony,Android 8.0,6.0,3580,Li-Ion,4,2018-01-01,221.0,32,True,True,True,False,True,False,False,False,False,False,260.0,1080,1920,2073600,Android,367.1511950137164
Oppo,Android 7.1,5.7,3180,Li-Ion,4,2018-01-01,143.0,16,False,True,False,False,True,False,False,False,False,False,500.0,720,1440,1036800,Android,282.45069189471025
Sony,Android 8.0,5.2,3300,Li-Ion,3,2018-01-01,171.0,32,True,True,True,False,True,False,False,False,False,False,200.0,1080,1920,2073600,Android,423.6359942465958
LG,Android 7.1.2,5.0,2410,Li-Ion,2,2018-01-01,139.0,16,False,True,False,False,True,False,False,False,False,False,200.0,720,1280,921600,Android,293.7209560109731
LG,Android 7.0,5.3,3000,Li-Ion,2,2018-01-01,172.0,32,False,True,False,False,True,False,False,False,False,False,500.0,720,1280,921600,Android,277.095241519786
Samsung,Android 7.1,5.0,2600,Li-Ion,2,2018-01-01,153.0,16,False,True,False,False,True,False,False,False,False,False,250.0,540,960,518400,Android,220.29071700822982
Sony,Android 7.1.1,5.5,3300,Li-Ion,3,2018-01-01,178.0,32,False,True,False,False,True,False,False,False,False,False,140.0,720,1280,921600,Android,267.0190509190665
Sony,Android 8.0,5.0,2870,Li-Ion,4,2018-02-01,168.0,64,True,True,True,False,True,True,False,False,False,True,430.0,1080,2160,2332800,Android,482.99068313995457
LG,Android 8.0,6.0,3300,Li-Po,6,2018-02-01,158.0,128,True,True,True,False,True,True,True,False,False,False,100.0,1440,2880,4147200,Android,536.6563145999495
LG,Android 7.1.2,5.3,3000,Li-Ion,3,2018-02-01,162.0,16,False,True,False,False,True,False,False,False,False,False,140.0,720,1280,921600,Android,277.095241519786
Xiaomi,Android 7.1.2,5.99,4000,Li-Po,4,2018-02-01,180.0,32,True,True,True,False,True,True,False,False,False,False,180.0,1080,2160,2332800,Android,403.16417624370166
Oppo,Android 7.1,5.2,3000,Li-Ion,3,2018-02-01,137.0,16,False,True,False,False,True,False,False,False,False,False,280.0,720,1280,921600,Android,282.42399616439724
LG,Android 7.1.2,5.0,2500,Li-Ion,2,2018-02-01,152.0,16,True,True,False,False,True,False,False,False,False,False,70.0,720,1280,921600,Android,293.7209560109731
Xiaomi,Android 7.1.2,5.99,4000,Li-Po,6,2018-02-14,181.0,64,False,True,False,False,True,False,False,False,False,False,180.0,1080,2160,2332800,Android,403.16417624370166
Samsung,Android 8.0,5.8,3000,Li-Ion,4,2018-02-25,163.0,64,True,True,True,False,True,True,True,True,False,True,300.0,1440,2960,4262400,Android,567.532154798372
Samsung,Android 8.0,6.2,3500,Li-Ion,6,2018-02-25,189.0,64,True,True,True,False,True,True,True,True,False,True,120.0,1440,2960,4262400,Android,530.9171770694447
Sony,Android 8.0,5.7,3180,Li-Ion,6,2018-02-26,198.0,64,True,True,True,False,True,True,False,False,False,True,360.0,1080,2160,2332800,Android,423.6760378420654
Xiaomi,Android 8.0,5.99,3400,Li-Ion,8,2018-03-01,191.0,64,True,True,True,False,True,True,True,True,False,False,270.0,1080,2160,2332800,Android,403.16417624370166
Xiaomi,Android 8.0,5.99,4000,Li-Po,6,2018-03-01,181.0,32,False,True,False,False,True,False,False,False,False,False,180.0,1080,2160,2332800,Android,403.16417624370166
Oppo,Android 7.1.1,5.7,3180,Li-Ion,4,2018-03-01,143.0,32,False,True,False,False,True,False,False,False,False,False,180.0,720,1440,1036800,Android,282.45069189471025
Oppo,Android 8.1,6.28,3450,Li-Po,8,2018-03-01,175.0,128,True,True,True,False,True,False,False,False,False,False,450.0,1080,2280,2462400,Android,401.7285867827128
Oppo,Android 8.1,6.28,3430,Li-Po,6,2018-03-01,180.0,128,True,True,True,False,True,True,True,True,False,False,320.0,1080,2280,2462400,Android,401.7285867827128
Samsung,Android 7.0,5.5,3300,Li-Ion,3,2018-03-01,170.0,32,False,True,False,False,True,False,False,False,False,False,370.0,1080,1920,2073600,Android,400.52857637859967
Huawei,Android 8.0,5.93,4000,Li-Ion,4,2018-03-01,170.0,32,False,True,False,False,True,False,False,False,False,False,600.0,1080,2160,2332800,Android,407.243409055611
Lenovo,Android 8.0,5.7,3000,Li-Ion,3,2018-03-01,155.0,16,False,True,False,False,True,False,False,False,False,False,150.0,720,1440,1036800,Android,282.45069189471025
Lenovo,Android 7.1,5.7,3000,Li-Ion,3,2018-03-01,160.0,32,True,False,False,False,True,False,False,False,False,False,150.0,720,1440,1036800,Android,282.45069189471025
Huawei,Android 8.0,5.99,3000,Li-Ion,2,2018-03-01,155.0,16,False,True,False,False,True,False,False,False,False,False,200.0,720,1440,1036800,Android,268.7761174958011
Lenovo,Android 8.0,5.7,3000,Li-Po,4,2018-03-01,155.0,32,True,True,True,False,True,False,False,False,False,False,230.0,1080,2160,2332800,Android,423.6760378420654
Huawei,Android 8.0,5.99,3000,Li-Ion,4,2018-03-01,155.0,32,False,True,False,False,True,False,False,False,False,False,170.0,720,1440,1036800,Android,268.7761174958011
LG,Android 7.1.2,5.0,2500,Li-Ion,2,2018-03-01,140.0,16,False,True,False,False,True,False,False,False,False,False,180.0,720,1280,921600,Android,293.7209560109731
Oppo,Android 8.1,6.23,3400,Li-Ion,6,2018-03-01,158.0,64,False,True,False,False,True,False,False,False,False,False,580.0,1080,2280,2462400,Android,404.95273274405076
Huawei,Android 8.0,5.99,3000,Li-Ion,3,2018-03-01,155.0,32,False,True,False,False,True,False,False,False,False,False,220.0,720,1440,1036800,Android,268.7761174958011
Huawei,Android 8.1,6.0,4000,Li-Po,6,2018-03-01,183.0,256,True,True,True,False,True,True,False,False,False,True,240.0,1440,2880,4147200,Android,536.6563145999495
Huawei,Android 8.0,5.84,3000,Li-Po,4,2018-03-20,145.0,32,False,True,False,False,True,False,False,False,False,False,150.0,1080,2280,2462400,Android,431.99580907456107
Huawei,Android 8.1,6.1,4000,Li-Po,8,2018-03-27,180.0,64,True,True,True,False,True,True,False,False,False,True,150.0,1080,2240,2419200,Android,407.66638799657846
Huawei,Android 8.1,5.8,3400,Li-Po,6,2018-03-27,165.0,64,True,True,True,False,True,True,False,False,False,True,170.0,1080,2240,2419200,Android,428.7525804791601
Huawei,Android 8.0,5.7,3000,Li-Ion,3,2018-04-01,150.0,16,False,True,False,False,True,False,False,False,False,False,330.0,720,1440,1036800,Android,282.45069189471025
Huawei,Android 8.0,5.7,3000,Li-Ion,3,2018-04-01,150.0,16,False,True,False,False,True,False,False,False,False,False,410.0,720,1440,1036800,Android,282.45069189471025
Sony,Android 8.0,5.8,3540,Li-Ion,6,2018-04-01,236.0,64,True,True,True,False,True,True,False,False,False,True,460.0,3840,2160,8294400,Android,759.6231620973442
Samsung,Android 8.0,5.5,3000,Li-Ion,4,2018-04-01,174.0,32,False,True,False,False,True,False,False,False,False,False,420.0,720,1280,921600,Android,267.0190509190665
Honor,Android 8.0,5.7,3000,Li-Po,3,2018-04-01,150.0,16,False,True,False,False,True,False,False,False,False,False,120.0,720,1440,1036800,Android,282.45069189471025
Oppo,Android 8.1,6.2,3400,Li-Ion,4,2018-04-01,159.0,128,False,True,False,False,True,False,False,False,False,False,280.0,1080,2280,2462400,Android,406.91218145087686
Xiaomi,Android 8.0,5.99,4000,Li-Ion,8,2018-04-01,190.0,64,True,True,True,False,True,False,True,False,False,False,400.0,1080,2160,2332800,Android,403.16417624370166
Realme,Android 8.1,6.0,3410,Li-Ion,6,2018-05-01,155.0,32,False,True,False,False,True,False,False,False,False,False,130.0,1080,2160,2332800,Android,402.49223594996215
Honor,Android 8.1,5.84,3400,Li-Po,8,2018-05-01,153.0,64,True,True,True,False,True,True,False,False,False,False,310.0,1080,2280,2462400,Android,431.99580907456107
Honor,Android 8.0,5.99,3000,Li-Po,4,2018-05-01,164.0,32,False,True,False,False,True,False,False,False,False,False,200.0,720,1440,1036800,Android,268.7761174958011
Samsung,Android 8.0,6.0,3500,Li-Ion,4,2018-05-01,177.0,32,False,True,False,False,True,False,False,False,False,False,140.0,720,1480,1065600,Android,274.3072081525465
Samsung,Android 8.0,5.6,3000,Li-Ion,4,2018-05-01,154.0,32,False,True,False,False,True,False,False,False,False,False,230.0,720,1480,1065600,Android,293.90058016344267
Samsung,Android 8.0,5.5,3000,Li-Ion,3,2018-05-01,175.0,16,False,True,False,False,True,False,False,False,False,False,220.0,720,1280,921600,Android,267.0190509190665
Samsung,Android 8.0,6.0,3500,Li-Ion,4,2018-05-01,186.0,32,False,True,False,False,True,False,False,False,False,False,240.0,1080,2220,2397600,Android,411.46081222881963
Samsung,Android 8.0,5.6,3000,Li-Ion,4,2018-05-01,162.0,32,False,True,False,False,True,False,False,False,False,False,170.0,720,1480,1065600,Android,293.90058016344267
Honor,Android 8.1,5.45,3020,Li-Ion,2,2018-05-01,142.0,16,False,True,False,False,True,False,False,False,False,False,110.0,720,1440,1036800,Android,295.40714565134834
Huawei,Android 8.1,5.45,3020,Li-Ion,2,2018-05-01,142.0,16,False,True,False,False,True,False,False,False,False,False,150.0,720,1440,1036800,Android,295.40714565134834
Samsung,Android 8.0,5.8,3000,Li-Ion,4,2018-05-01,150.0,64,True,True,True,False,True,False,False,False,False,False,180.0,1080,2220,2397600,Android,425.64911609877896
LG,Android 8.0,6.0,3300,Li-Po,6,2018-05-01,157.0,64,True,True,True,False,True,True,True,True,False,False,150.0,1440,2880,4147200,Android,536.6563145999495
